Unnamed,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,PoW/PoS,41.99995383,42.0
404,404Coin,Scrypt,PoW/PoS,1055184902.04,532000000.0
808,808,SHA-256,PoW/PoS,0.0,0.0
1337,EliteCoin,X13,PoW/PoS,29279424622.5027,314159265359.0
BTC,Bitcoin,SHA-256,PoW,17927175.0,21000000.0
ETH,Ethereum,Ethash,PoW,107684222.6865,0.0
LTC,Litecoin,Scrypt,PoW,63039243.30000489,84000000.0
DASH,Dash,X11,PoW/PoS,9031294.37563393,22000000.0
XMR,Monero,CryptoNight-V7,PoW,17201143.1449131,0.0
ETC,Ethereum Classic,Ethash,PoW,113359703.0,210000000.0
ZEC,ZCash,Equihash,PoW,7383056.25,21000000.0
BTS,Bitshares,SHA-512,PoS,2741570000.0,3600570502.0
DGB,DigiByte,Multiple,PoW,11406219141.0,21000000000.0
BTCD,BitcoinDark,SHA-256,PoW/PoS,1288862.0,22000000.0
XBS,Bitstake,X11,PoW/PoS,0.0,1300000.0
XPY,PayCoin,SHA-256,PoS,11995334.8847328,12500000.0
PRC,ProsperCoin,Scrypt,PoW,5768310.0,21000000.0
KOBO,KoboCoin,X15,PoW/PoS,25542535.5881841,350000000.0
SPR,Spreadcoin,X11,PoW,11149733.9976203,20000000.0
ACOIN,ACoin,SHA-256,PoW,0.0,1600000.0
AERO,Aero Coin,X13,PoS,0.0,7000000.0
APEX,ApexCoin,X13,PoW/PoS,0.0,6000000.0
ARCH,ArchCoin,Scrypt,PoS,0.0,16403135.0
ARG,Argentum,Scrypt,PoW,12205795.444954902,64000000.0
AUR,Aurora Coin,Scrypt,PoW/PoS,18135099.992959,16768584.0
BET,BetaCoin,SHA-256,PoW,0.0,32000000.0
BLU,BlueCoin,Scrypt,PoW/PoS,635423900.0,0.0
XMY,MyriadCoin,Multiple,PoW,1688254250.0,2000000000.0
MOON,MoonCoin,Scrypt,PoW,88.0,384000000000.0
ZET,ZetaCoin,SHA-256,PoW,170204389.754849,169795588.0
SXC,SexCoin,Scrypt,PoW,128940951.183046,250000000.0
QTL,Quatloo,Scrypt,PoW,7357794.7925,100000000.0
ENRG,EnergyCoin,Scrypt,PoW/PoS,123062801.128773,0.0
QRK,QuarkCoin,Quark,PoW,259557164.91477,247000000.0
RIC,Riecoin,Groestl,PoW,49548585.14129171,84000000.0
DGC,Digitalcoin ,Scrypt,PoW,33442988.3440364,48166000.0
LIMX,LimeCoinX,X11,PoW,0.0,21000000.0
BTB,BitBar,Scrypt,PoW/PoS,42579.476901,500000.0
BTMK,BitMark,Scrypt,PoW,0.0,27580000.0
CASH,CashCoin,Scrypt,PoW/PoS,0.0,47433600.0
CAT,Catcoin,Scrypt,PoW,7219956.64626131,21000000.0
CBX,CryptoBullion,Scrypt,PoW/PoS,1039116.65144562,1000000.0
CCN,CannaCoin,Scrypt,PoW,4703879.51824446,13140000.0
CIN,CinderCoin,Multiple,PoW/PoS,0.0,114000000.0
COOL,CoolCoin,Scrypt,PoS,0.0,100000000.0
CRYPT,CryptCoin,X11,PoW,4996986.20575291,18000000.0
